release_year,metascore,app_name
2015,65,ZOMBI
2015,68,Warlocks vs Shadows
2015,46,Viridi
2015,55,Gryphon Knight Epic
2015,58,DiscStorm
2007,55,Hard to Be a God
2015,66,Planet of the Eyes
2015,49,Corpse of Discovery
2015,70,Fran Bow
2015,72,Big Pharma
2015,55,Calvino Noir
2015,53,Red Goddess: Inner World
2015,73,Mad Max
2015,70,NOBUNAGA'S AMBITION: Sphere of Influence
2015,91,METAL GEAR SOLID V: THE PHANTOM PAIN
2015,83,SMITE®
2015,68,Master Spy
2015,75,Ravenmark: Scourge of Estellion
2015,80,Dropsy
2015,92,Undertale
2015,69,Train Valley
2009,NA,Train Simulator
2015,40,I Can't Escape: Darkness
2015,79,STASIS Deluxe Edition Upgrade
2015,84,SOMA
2015,79,Jotun: Valhalla Edition
2015,57,Armikrog
2015,83,Prison Architect
2015,68,Masochisia
2015,81,Downwell
2015,78,Mushroom 11
2015,83,Broforce
2015,74,"Warhammer 40,000: Deathwatch - Enhanced Edition"
2015,77,Tales of Zestiria
2015,47,COAST GUARD
2015,74,Kingdom: Classic
